ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
B07CQDHCBG,100pcs Cat Nail Caps/Tips YMCCOOL Pet Cat Kitty Soft Claws Covers Control Paws of 10 Multi-Colors Nails Caps and 5Pcs Adhesive Glue 5 Applicator with Instruction,YMCCOOL,Pet Supplies,"$22,920.21","3,279",$6.99,$3.97,$3.02,"2,596",16805,7,1,04/26/2018,Amazon,4.1,"6.00"" x 2.30"" x 0.30""",Small standard-size,0.63 lbs
B0CGP77S7W,12 Pack Cat Fountain Filters with 12 Sponges  Pet Replacement Filters for Stainless Steel 108oz/3L  67oz/2L Pet Fountain,Anovo,Pet Supplies,"$54,672.65","2,735",$16.99,$5.92,$11.07,"3,055",689.5,6,1,04/05/2022,Amazon,4.7,"3.99"" x 1.69"" x 0.60""",Small standard-size,2.89 lbs
B09VTKXXCW,12 Pack Cat Water Fountain Foam Filters  Compatible with Multiple Pet Fountain Dispenser Sponge Filters,Cirfifth,Pet Supplies,"$10,189.80","1,020",$9.99,$5.04,$4.95,N.A.,647,6,2,12/01/2021,Amazon,4.7,"5.43"" x 4.45"" x 3.90""",Large standard-size,2.4 lbs
B0C4PXVMH5,12 Pack Cat Water Fountain Replacement Filters with 12 Pack Pre-Filter Sponges  Pet Fountain Filter Fit for 95oz/2.8L Automatic Pet Fountain Cat Water Fountain Dog Water Dispenser,Porens,Pet Supplies,"$80,181.56","4,444",$17.99,N.A.,N.A.,N.A.,139.5,6,1,05/08/2023,Amazon,4.8,N.A.,N.A.,N.A.
B092J2PC5L,12 Pack Dog Squeaky Toys For Teething Cute Stuffed Plush Bundle Natural Cotton Puppy Rope/ Dog Chew Toys For Puppies Pet Toys For Small Dogs,LEGEND SANDY,Pet Supplies,"$60,679.06","3,197",$18.98,$7.37,$11.61,"3,432",5614,7,2,04/13/2021,Amazon,4.4,"3.39"" x 2.44"" x 2.13""",Large standard-size,13.12 lbs
B0C3VZQ61G,12 Pack Replacement Filters for 2.5L/84oz Dockstream Cat Fountain PLWF005/PLWF115  Cat Water Fountain Replacement Filters  Triple Action Pet Fountain Filter and Pre-Filter Sponge(1 Brush),ZEKIRY,Pet Supplies,"$23,034.00","1,047",$19.00,N.A.,N.A.,"8,229",99.5,6,1,02/12/2023,Amazon Warehouse,4.7,N.A.,N.A.,N.A.
B000633YX6,15 Count Fresh Kitty Litter Box Liners Super Thick  Durable  Easy Clean Up Jumbo Drawstring Scented Litter Pan Box Liners  Bags for Pet Cats,Fresh Kitty,Pet Supplies,"$24,942.36","2,082",$11.98,$6.94,$5.04,"4,625",2994,6,1,06/29/2009,Amazon.com,4.5,"9.25"" x 3.75"" x 3.75""",Large standard-size,1.7 lbs
B0B24K363K,16 Pack Cat Water Fountain Filters  Cirfifth Triple Filtration System Pet Cat Fountain Filter Replacement for 84oz/2.5L Automatic Cat Fountain,Cirfifth,Pet Supplies,"$136,832.63","10,370",$11.40,$6.47,$4.93,N.A.,4015,7,1,04/14/2021,Amazon,4.6,"5.12"" x 5.12"" x 6.30""",Large standard-size,0.6614 lbs
B09Q3BXCF6,16 Packs Cat Water Fountain Filters for Stainless Steel 108oz/3.2L & 67oz/2L Adjustable Water Flow Pet Fountain  Replacement Filters for Pet Drinking Fountain,VinDox,Pet Supplies,"$14,290.98","1,101",$14.99,$5.49,$9.50,"8,900",719,6,1,08/15/2021,Amazon,4.7,"3.62"" x 4.09"" x 4.09""",Large standard-size,0.1301 lbs
B0BV6VGLB3,16 PCS Puppy Collars  Safety Buckle Puppy Collars for Litter Nylon Adjustable Puppy Collars for Small Puppies  Breakaway Puppy ID Collars Whelping Collars Pet Supplies Stuff Accessories(M),Mtliepte,Pet Supplies,"$13,439.52","1,224",$10.98,N.A.,N.A.,N.A.,63,7,1,02/07/2023,Amazon,4.3,N.A.,N.A.,N.A.
B0CJM5CCVK,16/32 Pcs Cat Water Fountain Filters  Compatible with Stainless Steel Pet Fountain 8 Filters with 8 Sponges Replacement Filters for Cat Fountain (8 Carbon Filters& 8Sponge Filters),Cirfifth,Pet Supplies,"$22,725.00","1,818",$12.50,$5.42,$7.09,N.A.,730,7,3,11/25/2021,Amazon Warehouse,4.8,"4.09"" x 4.06"" x 3.62""",Large standard-size,2.08 lbs
B0CJNF6TW5,2 Ceramic Raised Cat Food Bowls  Elevated Cat Food and Water Bowl Set  Pet Bowl for Indoor Cats and Small Dogs  Anti-Vomiting Cat Dog Feeder with Plastic Base  Dishwasher Safe  Black…,DDMOMMY,Pet Supplies,"$45,382.15","3,785",$11.99,$6.94,$5.05,N.A.,72,7,1,07/27/2023,N.A.,4.2,"4.90"" x 4.90"" x 3.50""",Large standard-size,1.12 lbs
B0B1M8NK1K,2 Pack Automatic Cat Feeder and Water Dispenser in Set with Pet Food Mat for Small Medium Dog Pets Puppy Kitten Big Capacity 1 Gallon x 2 (2 Pack Cream),Pawzone,Pet Supplies,"$68,785.17","2,811",$24.47,$11.60,$12.87,"2,989",12248,6,12,10/07/2019,Nick's Discount Shop,4.5,"12.80"" x 7.00"" x 12.80""",Large standard-size,2.34 lbs
B091LLGRS2,2 Pack Cat Corner Self Groomer with Catnip Wall Cat Groomer Cat Wall Brush Wall Corner Perfect Massage Comb Tool Softer Massager Toy for Long & Short Fur Kitten Cats Dogs Pet Grooming Brush (Blue),yuntop,Pet Supplies,"$65,186.49","7,251",$8.99,$4.89,$4.10,N.A.,9080,7,1,04/26/2023,Amazon,4.2,"5.24"" x 4.65"" x 2.72""",Large standard-size,4.97 lbs
B0B73SDX9D,"2 Pack Detachable Pet Dog Clipper Blades  Compatible with Andis Size 4FC Cut Length 3/8""(9.5mm)  Most Oster A5 Wahl KM Series Clippers Made of Ceramic Blade & Stainless Steel Blade",DODAER,Pet Supplies,"$72,381.90","1,810",$39.99,$9.07,$30.92,"9,859",640.6363636,6,1,06/09/2022,Amazon,4.3,"5.04"" x 3.27"" x 0.75""",Small standard-size,6.38 lbs
B0C8HY69K6,2 Pack Dog Seat Belt Adjustable Dog Car Seatbelts for Vehicle Nylon Pet Safety Seat Belt with Elastic Bungee Buffer Reflective & Durable Car Harness for Dogs (Black + Pink),PUEENOD,Pet Supplies,"$14,543.87","1,213",$11.99,$10.74,$1.25,N.A.,269,6,1,06/18/2023,N.A.,4.5,"21.60"" x 1.57"" x 0.78""",Small oversize,5.29 lbs
B09LC5R4QD,2 Pack Doggy Poop Bag Dispenser with Built-in LED Flashlight for Dog Walking  Pet Waste Bag Holder for Leash with Carabiner Clip for Lead  2 Rolls Leak-proof  Blue,Eliamo,Pet Supplies,"$32,167.80","3,220",$9.99,$5.04,$4.95,N.A.,4736,6,1,04/05/2021,Amazon,4.2,"4.61"" x 3.54"" x 2.05""",Large standard-size,0.16 kg
B0CB7ZJY9T,2 Pack Pet Hair Remover Bundle -Ajustable Longth Large Carpet Rake & Portable Carpet Scraper Clothes Fuzz Rollers Hairball Shaver Brush for Carpets  Car Mat  Couch  Pet Bed  Furniture & Rug,Kopration,Pet Supplies,"$39,993.57","1,143",$34.99,$10.39,$24.60,"9,261",159,7,1,07/05/2023,Amazon,4.4,"17.32"" x 2.76"" x 5.51""",Large standard-size,1.37 lbs
B09ST5JGHW,2 PCS Dog Bath Brush Dog Grooming Brush  Lilpep Pet Shampoo Bath Brush Soothing Massage Rubber Comb with Adjustable Ring Handle for Long Short Haired Dogs and Cats,Lilpep,Pet Supplies,"$25,516.45","2,851",$5.97,$4.26,$1.71,"2,027",2841.8,7,1,08/10/2020,Amazon,4.2,"11.85"" x 10.71"" x 0.08""",Small standard-size,3.35 lbs
B0BB2MWF42,2 Pcs Flea Comb Dog Comb Cat Comb Dog Hair Comb Pet Combs Pet Grooming Comb Flea Lice Comb Cat Grooming Supplies for Dog/Cat/Small Pets (Blue and Green),Arbootjin,Pet Supplies,"$12,902.46","2,154",$5.99,$3.82,$2.17,"4,288",361,7,1,09/26/2022,Amazon,4.6,"7.28"" x 1.57"" x 0.08""",Small standard-size,1.76 lbs
B09FLG2ZG1,2 Pieces Christmas Dog Dresses for Small Dogs Girl Sebaoyu Pet Clothes Dress Thanksgiving Puppy Skirt Outfit Soft Chihuahua Apparel Boy Girl Cat Clothing Costume Sundress,Sebaoyu,Pet Supplies,"$10,952.10","1,290",$8.49,$1.27,$7.22,"16,076",6,7,1,09/06/2021,Sebaoyu,4.1,"3.94"" x 3.94"" x 0.59""",N.A.,0.0882 lbs
B0B3CP8K4N,2 Pieces Pet Pill Plunger Popper for Small Cats Dogs Pill Gun Dispenser Shooter Pet Piller Soft Tip Tablet Syringe Pusher Animal Medicine Feeder for Feeding Accessories (Blue),Nuanchu,Pet Supplies,"$20,005.38","2,862",$6.99,$3.97,$3.02,"3,205",606.3333333,6,1,07/04/2021,Amazon,3.6,"5.90"" x 1.97"" x 0.01""",Small standard-size,1.41 lbs
B097K3W6N7,2 Pieces Reversible Cat Hanging Hammock Soft Breathable Pet Cage Hammock with Adjustable Straps and Metal Hooks Double-Sided Hanging Bed for Cats Small Dogs Rabbits (Cat and Plaid L),Jetec,Pet Supplies,"$33,467.07","2,093",$14.49,$6.17,$8.32,"4,910",1601.083333,7,1,04/28/2021,Amazon,4.108333333,"13.00"" x 10.00"" x 1.00""",Large standard-size,11.36 lbs
B08NX87FFT,2 Pieces Winter Puppy Sweater Puppy Knitwear Clothes Winter Puppy Warm Coat Vests Clothes for Medium and Small Dogs Pet Supplies,SATINIOR,Pet Supplies,"$10,380.15","1,485",$7.49,$3.97,$3.52,"6,324",2669.5,7,1,11/20/2020,Yinhoo US,4.1,"0.60"" x 6.80"" x 11.00""",Small standard-size,0.2491 lbs
B0C2KG1VC9,2-in-1 Bathing Massage and Grooming Brush: Effortless hair removal tool for cats and dogs - Pet cleaning and beautifying supplies (New Blue),Woleigiao,Pet Supplies,"$12,433.63","1,037",$11.99,$5.34,$6.65,"29,826",1237,7,1,11/16/2021,Amazon,3.6,"4.50"" x 3.00"" x 2.36""",Large standard-size,4.02 lbs
B0C1S3C4SQ,2-in-1 Rechargeable Dog Nail Grinder & Dog Nail Clippers  Dog Nail Trimmers for Large Dogs  Pet Nail Grinder for Dogs  Electric Dog Nail Trimmer for Medium Dogs (Beige  Beige),Kronwel,Pet Supplies,"$33,237.61","1,039",$31.99,$8.57,$23.42,"10,339",1488.5,6,1,09/11/2022,Amazon,4.8,"8.27"" x 3.43"" x 1.46""",Large standard-size,7.83 lbs
B0CCJ4RBKV,2023 Pet Toy Flying Saucer Ball Dog Toy Balls Flying Saucer Dog Toy Dog Ball  Blue 6 Lights,Generic,Pet Supplies,"$60,690.00","3,570",$17.00,$6.32,$10.68,"2,324",16,6,1,08/02/2023,xianyingxiangshana,2,"1.00"" x 1.00"" x 1.00""",Large standard-size,6.4 lbs
B0BMBC1FJX,2023release Dog Bark Deterrent Device  Stops Bad Behavior: barking  jumping  aggression- No need to yell or swat  point to the dog  hit the button - Pet corrector  Best Alternative to Anti bark collar,NPS,Pet Supplies,"$978,584.41","25,759",$37.99,$8.77,$29.22,89,10523,7,2,11/13/2022,Amazon,4.6,"4.00"" x 2.00"" x 0.10""",Small standard-size,6.9 lbs
B007LLC7CK,24 inch Blue Bagel Dog Bed By Majestic Pet Products,Majestic,Pet Supplies,"$49,991.04","1,578",$49.28,$22.05,$27.23,"13,912",3448.958333,5,2,11/14/2006,Amazon.com,4.4,"24.00"" x 7.00"" x 19.00""",Small oversize,1.81 lbs
B0CFXXYJRJ,2Pack Dog Bath Brush Scrubber Shampoo Dispenser Brush  Pet Bath Massage Grooming Shower Soap Brush Soft Silicone for Short & Long Haired Dogs and Cats Washing  DAIHONGSAFI,DAIHONGSAFI,Pet Supplies,"$11,404.96","1,904",$5.99,$4.67,$1.32,"2,872",197,7,1,04/06/2023,Amazon,3.9,"4.33"" x 4.33"" x 3.54""",Large standard-size,6.38 lbs
B0CGHV82VJ,2Pack Dog Bath Brush  Dog Bath Scrubber Shampoo Dispenser Brush  Pet Bath Massage Shower Soap Brush Soft Silicone for Short & Long Haired Dogs and Cats Washing  ISWAYSTORE,ISWAYSTORE,Pet Supplies,"$66,152.78","7,361",$8.98,$4.97,$4.01,N.A.,1753,7,1,06/06/2023,Amazon,4,"4.35"" x 4.35"" x 3.55""",Large standard-size,6.38 lbs
B08T17FF37,2Packs Stainless Steel Dog Bowl with Anti-Skid Rubber Base for Small/Medium/Large Pet  Perfect Dish  Pets Feeder and Water Choice Puppy Cat Kitten (8oz),Juqiboom,Pet Supplies,"$24,925.00","2,500",$12.97,$5.04,$7.93,"4,483",2421.5,7,1,10/31/2020,Amazon,4.4,"5.91"" x 1.97"" x 1.97""",Large standard-size,3.53 lbs
B0BDLJTRZ8,2PC 3FC Blade Detachable Pet Clipper Replacement Blades Compatible with Andis Pet Clipper/Oster A5/Wahl KM Series Dog Clipper Ceramic Blade & Stainless Steel Blade,Audoc,Pet Supplies,"$109,824.12","2,388",$45.99,$10.67,$35.32,"3,656",941.4444444,6,1,09/07/2022,Amazon,4.3,"4.96"" x 4.21"" x 1.46""",Large standard-size,7.83 lbs
B0B1XWCPKS,2PC Cat Toy Snake for Cat  Smart Sensing Snake Rechargeable  Automatically Sense Obstacles and Escape  Wiggling Snake Cat Toys for Indoor Cats  Plus Pet Projection Toy,Pet2U,Pet Supplies,"$52,185.40","2,430",$21.48,$6.84,$14.64,N.A.,2269,6,1,04/08/2022,Amazon,3.7,"15.70"" x 1.60"" x 1.40""",Large standard-size,4.16 lbs
B0CFTDPXCK,3 Cat Food Bowls Ceramic 13 oz Upgraded with Stainless Steel Stand Non-Slip and Anti-Rust Elevated Raised Cat Bowls for Food and Water  Pet Dishes Bowl for Indoor Cats and Puppy  Dishwasher Safe,COMESOON,Pet Supplies,"$63,724.50","2,550",$24.99,$8.27,$16.72,N.A.,2199,7,1,07/19/2022,Amazon,4.7,"16.50"" x 5.43"" x 3.45""",Large standard-size,13 lbs
B0B4KJ1NB3,3 Pack ELEGX Pet Grooming Bath Massage Brush with Soap and Shampoo Dispenser Soft Silicone Bristle for Long Short Haired Dogs Cats Shower,ELEGX,Pet Supplies,"$35,579.10","2,545",$12.98,$5.87,$7.11,"3,211",2300.4,6,1,06/29/2021,Amazon,3.6,"5.16"" x 4.45"" x 3.58""",Large standard-size,10.55 lbs
B09GF98VZY,3 Piece Set Dog Car Seat Belt Headrest Restraint Adjustable with Elastic Bungee Buffer Durable Headrest Pet Seat Belt Dog Car Safety Harness Restraint,Paercute,Pet Supplies,"$17,952.18","1,382",$12.99,$5.72,$7.27,"2,331",2745.75,7,1,09/15/2021,IBLUETREE,4.6,"2.17"" x 6.30"" x 7.40""",Large standard-size,0.7099 lbs
B09BTG22RJ,3 Pieces Dog Dental Tooth Scaler and Scraper Stainless Double Headed Tarter Removing Tool Scraper Pet Teeth Cleaning Tools for Dog and Cat,Hotop,Pet Supplies,"$12,672.87","1,813",$6.99,$4.59,$2.40,"3,256",4055.5,7,1,09/03/2019,Amazon,4.5,"6.81"" x 3.23"" x 0.79""",Large standard-size,1.76 lbs
B0C6QCS9NZ,3 Pieces Dog Diaper Striped Sanitary Pantie with Adjustable Suspender Washable Reusable Puppy Sanitary Panties Cute Pet Underwear Diaper Jumpsuits for Female Dogs (Animal Pattern L),Nuanchu,Pet Supplies,"$31,666.80","1,320",$23.99,$7.37,$16.62,"5,584",2048.857143,6,1,03/19/2021,Amazon,3.9,"12.64"" x 9.84"" x 1.18""",Large standard-size,7.05 lbs
B0BHNSL5VH,3 Pieces Halloween Dog Sweaters Sets Pumpkin Boo Puppy Dog Clothes Pet Knitwear for Dog Cat Pet Costume  Medium,Sanwuta,Pet Supplies,"$15,304.79","1,021",$18.49,$6.02,$12.47,"7,574",93,6,1,05/11/2023,Amazon,4.5,"10.98"" x 9.09"" x 0.98""",Large standard-size,7.37 lbs
B0CDKC5NXD,3 Steps Dog Ramp/Stairs for Beds and Couches MOOACE Pet Stairs with Durable High Density Foam  Washable Cover and Pet Hair Remover Roller - Reduce Stress on Pet Joints/Easy to Walk,MOOACE,Pet Supplies,"$42,072.31","1,169",$45.99,$29.54,$16.45,"6,548",722.6,7,2,11/15/2022,MOOACE Direct,4.4,"23.20"" x 15.30"" x 15.70""",Small oversize,4.34 lbs
B09MD9BPH3,3 Triple Filtration System Replacement Cat Water Fountain Filters for 81oz/2.4L Automatic Pet Fountain Cat Water Fountain (Pack of 4),Comsmart,Pet Supplies,"$25,026.22","4,178",$13.49,N.A.,N.A.,"2,261",6468.25,6,1,06/13/2022,Comsmart,4.625,N.A.,N.A.,N.A.
B0CBPKLMDD,"30-120 lbs Dog Sling for Large Dogs Hind Leg Support Dog Lift Harness for Back Legs Helps Elderly Pet with Reduced Mobility Dog Lifter for Walking Canine Arthritis ACL Rehabilitation Rehab  7"" x 51""",HNYG,Pet Supplies,"$29,596.58","1,742",$16.99,$6.32,$10.67,"5,648",3323,7,1,07/02/2023,Amazon,4.5,"8.82"" x 5.55"" x 3.58""",Large standard-size,9.91 lbs
B0BH39TCXX,316 Surgical Grade Stainless Steel Cat Dog ID Tag for Sports Outdoor Pet Nameplate Personalized Fun Shapes Round 6 Colors,ADOGINTHEHOUSE,Pet Supplies,"$15,375.01","1,399",$10.99,N.A.,N.A.,N.A.,11,7,1,09/30/2022,ADOGINTHEHOUSE,5,N.A.,N.A.,N.A.
B01C6R4MX0,"32"" Gray Suede Bagel Dog Bolster Bed by Majetsic Pet Products  Grey Velvet",Majestic,Pet Supplies,"$96,397.47","1,753",$54.99,$31.25,$23.74,"9,773",437,5,6,02/23/2016,Amazon Warehouse,4.3,"32.00"" x 23.00"" x 7.00""",Small oversize,7 lbs
B0C7CV98YV,"36"" Wide Hexagonal Dog Pen Urine Pad Dog Urine Pad Puppy Pad  [PLAYPEN Not Included!] Reusable Whelping Playpen Crate Reusable Washable Pet Mattress Pads Pet Training Pads for Playpen  Crate  Kennel",JWXQS,Pet Supplies,"$60,679.14","1,686",$26.99,$11.19,$15.80,"4,365",632.4166667,7,1,06/05/2023,Amazon,4.4,"0.10"" x 0.10"" x 0.10""",Large standard-size,2.95 lbs
B09JZVNS1W,360 Pet Nutrition Freeze Dried Beef Liver Raw Single Ingredient Treats  Made in The USA  4 Ounce (Beef Liver),360 Pet Nutrition,Pet Supplies,"$28,029.75","1,405",$19.95,$6.53,$13.42,"6,459",1060.666667,6,1,02/07/2021,Amazon,4.5,"10.59"" x 6.54"" x 1.65""",Large standard-size,3.99 lbs
B0BWSJWFW8,360 Pet Nutrition Freeze Dried Raw Complete Meal for Adult Dogs  High Protein  Omega 3's  No Fillers  Made in The USA  16 Ounce (Chicken),360 Pet Nutrition,Pet Supplies,"$149,724.80","4,544",$32.95,$10.73,$22.22,N.A.,1448,6,1,02/23/2023,Amazon,4.1,"12.01"" x 9.17"" x 3.23""",Large standard-size,1.04 lbs
B0BXD1R7WN,39.4in X 19.7in Fake Grass Pee for Dog Large Artificial Grass Rug Pad for Puppy Potty Washable Grass Mat for Pet Training with Drainage Hole and Easy to Clean,Oiyeefo,Pet Supplies,--,--,$23.99,N.A.,N.A.,"11,050",760,7,30,06/19/2023,Amazon,3.9,N.A.,N.A.,N.A.
B01NCLXZ4R,3oz GoGo Turkey Tendon Strips Dog Chew Treats USA Sourced - The Original Turkey Chew,GoGo Pet Products,Pet Supplies,"$18,557.62","1,238",$14.99,$5.17,$9.82,"4,444",1755,4,1,12/13/2016,Amazon,4.5,"10.43"" x 3.50"" x 0.75""",Small standard-size,3 lbs
